Date,Price
19/11/2021 16:45:57,3145.7
19/11/2021 16:46:57,3145.66
19/11/2021 16:47:58,3145.88
19/11/2021 16:48:58,3145.66
19/11/2021 16:49:58,3145.24
19/11/2021 16:50:58,3145.24
19/11/2021 16:51:59,3150.12
19/11/2021 16:52:59,3152.84
19/11/2021 16:53:59,3153.39
19/11/2021 16:54:59,3158.18
19/11/2021 16:56:00,3159.47
19/11/2021 16:57:00,3159.47
19/11/2021 16:58:00,3164.51
19/11/2021 16:59:00,3163.16
19/11/2021 17:00:01,3161.41
19/11/2021 17:01:01,3165.98
19/11/2021 17:02:01,3169.64
19/11/2021 17:03:01,3167.59
19/11/2021 17:04:01,3169.11
19/11/2021 17:05:02,3169.55
19/11/2021 17:06:02,3172.06
19/11/2021 17:07:02,3172.06
19/11/2021 17:08:02,3170.66
19/11/2021 17:09:03,3170.98
19/11/2021 17:10:03,3171.9
19/11/2021 17:11:03,3173.15
19/11/2021 17:12:03,3174.55
19/11/2021 17:13:04,3177.08
19/11/2021 17:14:04,3179.35
19/11/2021 17:15:04,3177.53
19/11/2021 17:16:04,3178.05
19/11/2021 17:17:05,3176.3
19/11/2021 17:18:05,3176.78
19/11/2021 17:19:05,3177.58
19/11/2021 17:20:05,3175.04
19/11/2021 17:21:06,3175.78
19/11/2021 17:22:06,3175.61
19/11/2021 17:23:06,3175.23
19/11/2021 17:24:06,3172.26
19/11/2021 17:25:07,3176.37
19/11/2021 17:26:07,3179.02
19/11/2021 17:27:07,3180.14
19/11/2021 17:28:07,3180.73
19/11/2021 17:29:08,3180.05
19/11/2021 17:30:08,3181.54
19/11/2021 17:31:08,3176.85
19/11/2021 17:32:08,3173.71
19/11/2021 17:33:09,3170.66
19/11/2021 17:34:09,3170.67
19/11/2021 17:35:09,3173.38
19/11/2021 17:36:09,3176.81
19/11/2021 17:37:10,3175.43
19/11/2021 17:38:10,3177.07
19/11/2021 17:39:10,3179.53
19/11/2021 17:40:10,3180.84
19/11/2021 17:41:11,3178.9
19/11/2021 17:42:11,3179.45
19/11/2021 17:43:11,3178.18
19/11/2021 17:44:11,3173.95
19/11/2021 17:45:12,3172.47
19/11/2021 17:46:12,3175.84
19/11/2021 17:47:12,3175.93
19/11/2021 17:48:12,3175.7
19/11/2021 17:49:13,3173.62
19/11/2021 17:50:13,3173.62
19/11/2021 17:51:14,3171.75
19/11/2021 17:52:14,3170.66
19/11/2021 17:53:14,3170.66
19/11/2021 17:54:14,3170.66
19/11/2021 17:55:15,3171.61
19/11/2021 17:56:15,3173.72
19/11/2021 17:57:15,3175.68
19/11/2021 17:58:15,3174.87
